ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"bridge:A23934";"Land policy reform: the role of land markets and women's land rights in Malawi";"";"Malawi is facing increasing land scarcity and food insecurity for its large rural population and is in the midst of an on-going land policy reform process. This report asks how these reforms may affect women's land rights in a situation of increasing scarcity and competition for land. Reforms include the formalisation of customary land rights as private land rights as a way to ensure tenure security and equitable access to land. It warns that through this approach, women's rights may become increasingly marginalised. This would not only be in the informal family and lineage negotiations over rights and access to land. This is likely to also be in the bargaining processes related to the implementation of land reform policies and programmes. For example, in the implementation of a pilot land reform a clear gender bias in the implementation emerged, favouring men.The paper argues that:? in order to counteract these tendencies, special mechanisms that protect women against direct discrimination and more indirect processes of marginalisation should be established in Malawi;? one strategy could be to establish a stronger legal basis for the joint ownership of land by spouses or, at least, the prevention of the disposal of a household's land assets by husbands without the consent of their wives;? a second approach would involve the establishment of legal instruments so that women can maintain their rights to land upon the death of their spouses. ";"S. Holden
R. Kaarhus
R. Lunduka";"";"Noragric, Department of International Environment and Development Studies, Norwegian University of Life Sciences";"BRIDGE";"2006-01-01";"en";"land;land rights;land markets;women";"Land & Investments;Land & Gender";"Land Use, Management & Investment;Access to Land & Tenure Security";"018;MWI;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A23934";"http://www.umb.no/noragric/publications/reports/NoragricRep36.pdf";"";"";"";"";"Land rights;Human rights and social movements"
"bridge:A51971";"Bargaining and Gender Relations: Within and Beyond the Household";"";"How are family gender relations affected by extra-household conditions in South Asia' By investigating quantitative factors (e.g. land ownership and income), along with qualitative aspects (e.g. social perceptions, interaction of gender relations in market, community, state and household), this paper shows how these multiple conditions influence the relative bargaining power of different household members. It argues that such understanding is vital for designing policy interventions. Control over land and income increases an individual's bargaining power. But women's contribution to families is undervalued, weakening their voice at home, access to food, and inheritance of property. Women's self-perception of this inequality has led to daily resistance strategies through secret selling of crops, hiding of rice, and pretending to be spiritually possessed in order to receive food otherwise denied to them. Strengthening women's position is the best way to increase their voice at home and in communities. Projects have successfully achieved this through providing women with access to credit and employment (e.g. Bangladesh Rural Advancement Committee [BRAC]), in turn increasing their self-esteem, economic security and improved treatment from husbands. ";"B. Agarwal";"";"International Food Policy Research Institute ";"BRIDGE";"1997-03-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"009";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A51971";"http://www.ifpri.org/divs/fcnd/dp/dp27.htm";"";"";"";"";"Income distribution;Poverty and quality of life;Trade and industry;Micro-credit;Land rights;Human rights and social movements;Family structures and the household;Gender relations and power;Economic empowerment"
"bridge:A21788";"Citizenship degraded: Indian women in a modern state and a pre-modern society";"";"One of the greatest barriers to achieving full citizenship rights for women is culture. If development organisations are to help advance women's rights and full citizenship then they must abandon explanations on the basis of ?culture? that ignore gender-based discrimination, and overcome their anxieties about appearing neo-colonial. To do this, effective partnerships between northern-based development institutions and southern-based social movements are necessary since social movements can be a key means of transforming culture. Three Indian legal cases are presented to demonstrate how, despite elements of formal equality, Indian law and its Constitution do not recognise real equality. The Shah Bano (1985) case is described, where Indian law was overridden by the Prime Minister to uphold discriminatory Muslim personal law on divorce. Another case is that of Bhanwari Devi, who was raped as a form of community punishment for her feminist activism, and this was later sanctioned by formal legal systems. The court's argument that the rape could not have taken place was based on assumed cultural norms that older men do not commit rape. The final case is of a young couple who were murdered by their relatives, with the approval and participation of the community, because they were of different castes. These cases emphasise the need for strengthening north-south collaboration within development in order to support social movements that campaign for women's citizenship rights. ";"K. Sinha";"";"Oxfam";"BRIDGE";"2003-01-01";"en";"land rights;women";"Land & Gender";"Access to Land & Tenure Security";"IND;001;143;034";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A21788";"http://www.bridge.ids.ac.uk/docs/sinha_citizenstate.pdf";"";"";"";"";"Cultural diversity;Formal education;Economy and finance;Gender relations and power;Diversity and difference;Violence against women;Policy change;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Economic empowerment;Income distribution;Political participation;Gender mainstreaming tools and approaches;Social responsibility;Life skills;Governance and decision-making structures;Land rights;Human rights instruments;Family structures and the household;Sexual violence;Citizenship;Female-headed households;Education and learning;Democratic processes;Advocacy and advocacy tools;Poverty and quality of life;Gender-based violence;Social movements"
"bridge:A59217";"Gender and Climate Change: Overview Report";"";"Climate change is increasingly being recognised as a global crisis, but responses to it have so far been overly focused on scientific and economic solutions. How then do we move towards more people-centred, gender-aware climate change policies and processes? How do we both respond to the different needs and concerns of women and men and challenge the gender inequalities that mean women are more likely to lose out than men in the face of climate change? This report sets out why it is vital to address the gender dimensions of climate change. It identifies key gender impacts of climate change and clearly maps the global and national policy architecture that dominates climate change responses.The report maps pathways for making climate change responses more gender aware and – potentially – transformative, arguing that gender transformation should be both a potential end goal and an important condition of effective climate change responses and poverty reduction.The report provides inspiring examples of locally relevant, gender-aware innovations from diverse global regions and contexts. Recommendations include:

    Take into account the multiple dimensions of gender inequality and women’s and men’s experiences of climate change on the ground, and invest in research to enable this.
    Move beyond simple assumptions about women’s vulnerability to highlight women’s agency in adapting to and mitigating climate change. This will involve integrating women’s valuable knowledge and practical experience into policymaking processes.
     Learn from people-focused, gender-transformative approaches at the local level and apply these lessons to national and international policy.
    Promote a rights-based approach to climate change and ensure that all future climate change policies and processes draw on human rights frameworks such as the Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW).
    Find alternatives to market-based approaches where possible, but when they are used to address climate change mitigation, ensure they benefit women equally and do not exclude or further disadvantage women.
    Address the underlying causes of gender inequality, tackling issues such as unequal land rights through legislative reforms and awareness-raising, as well as through the implementation of CEDAW and other relevant frameworks.
 ";"E Skinner";"";"Institute of Development Studies UK";"BRIDGE";"2011-11-01";"en;es;fr";"food security;climate change;forestry;natural disasters;land rights;agriculture";"Land & Gender;Land, Climate change & Environment;Forest Tenure;Land & Food Security";"Access to Land & Tenure Security";"001";"Training Resources & Tools;Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A59217";"http://docs.bridge.ids.ac.uk/vfile/upload/4/document/1206/French_OR_final_web.pdf";"";"";"";"";"Agriculture;Food security;Sustainable livelihoods;Allocation of resources;Economy and finance;Justice;Climate change;Human rights and social movements;Governance and decision-making structures;Forestry;Poverty alleviation;Natural disasters;Financial policy;Land rights;Poverty and quality of life;Participation and exclusion;Natural resources and the environment;Economic empowerment;Gender mainstreaming tools and approaches"
"bridge:A52495";"Trade Liberalization: Impacts on African Women";"";"Trade liberalisation processes impact differently on men and women due to the fact that men and women have different roles in production. Despite the fact that women are actively involved in international trade, WTO agreements are gender blind and as such have adverse impacts on women. The General Agreement in Trade and Service (GATS), for instance, provides for a level playing field in service provision between big foreign owned companies and small locally owned companies. This exposes female service providers to unfair competition from foreign service providers in sectors such as education and health. Trade Related Investment Measures (TRIMS) also advocate for liberalisation of investment, which ensures equal treatment to local and foreign investors. This has a serious impact on women, as they are concentrated in small and medium enterprises, resulting in implications for women's access to land and other resources. The first part of this paper presents an analysis of the impacts of WTO agreements on women in developing countries. Provisions of specific agreements the impacts on women are outlined. The second and main section of the paper is a compilation of case studies on the impacts of trade liberalisation on women in Africa. ";"";"";"";"BRIDGE";"2001-08-01";"en";"environment;land rights;food security;women";"Land & Gender;Land, Climate change & Environment;Land & Food Security";"Access to Land & Tenure Security";"MOZ;EGY;145;NGA;ZAF;UGA;MLI;SOM;ZWE;TZA;011;001;014;015;018;SLE";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52495";"http://www.genderandtrade.net/WTO/TradeLibAfricanWomen.pdf";"";"";"";"";"Cultural diversity;Food security;Sustainable livelihoods;Economy and finance;Social protection;Infrastructure and services;Policy change;Health systems;Human rights and social movements;Participation and exclusion;Information rights;Globalisation;Economic empowerment;Income distribution;Trade and industry;Political participation;Diversity and difference;Gender mainstreaming tools and approaches;Workers rights;Advocacy and advocacy tools;Governance and decision-making structures;Land rights;Human rights instruments;Water and sanitation;Health and well-being;Macro-economics;Family structures and the household;Urban development;Financial policy;Health sector reform;Allocation of resources;Gender budgets;Poverty alleviation;The private sector;Aid effectiveness;Democratic processes;Financial institutions;Agricultural workers;Poverty and quality of life;Paid work and care work;Natural resources and the environment;Social movements"
"bridge:A54382";"Widows, AIDS, Health and Human Rights in Africa";"";"This paper argues that widows and female children in Tanzania have traditionally been denied the right to inherit property from their husbands, even when the property was acquired during the marriage. This is further complicated by a three-part legal system consisting of customary law (law grounded in customs or traditions), Islamic law, and statutory law (law set down by a legislature). As a result, Tanzanian women and their children are often left homeless upon the death of their husbands. This discrimination persists despite Tanzania's commitment to securing equality for women under its own constitution, and under international laws and conventions such as the International Covenant on Civil and Political Rights, the Convention on the Elimination of All Forms of Discrimination Against Women, and the African Charter on Human and People's Rights. This paper sets out the case for legal reform in Tanzania, with a focus on women's access to inheritance rights. It also argues that the issue of women's inheritance rights provides an opportunity to assess the efficacy of legislation as a tool to guarantee women's rights and change longstanding social practices. ";"V. von Struensee";"";"";"BRIDGE";"2004-07-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"TZA;018;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A54382";"http://papers.ssrn.com/sol3/papers.cfm?abstract_id=569665";"";"";"";"";"Land rights;HIV/AIDS;Human rights and social movements;Health and well-being;Widows;Family structures and the household"
"bridge:A24233";"Landless women, hopeless women? Gender, land and decentralisation in Niger";"";"This study aims to identify how women's capacity to become more involved in decision-making at the local level can be strengthened, particularly in terms of access to natural resources. It also aims to identify the structures through which women secure their systems of production. It focuses on the situation in Niger, where women are increasingly excluded from dominant systems of production: in agricultural areas, they are increasingly excluded from agricultural production and in pastoralist areas, they have lost their herds and had to resort to agriculture. This had devastating effects on their livelihoods, their social and economic opportunities and on their extended family who often take on extra work and responsibilities and suffer from food insecurity. Women have traditionally gained access to land through a customary practice of borrowing land, which is also under threat. New ways to access land (e.g. pledges and purchases) have mainly been used by a minority of better-off and better-informed women. A system of land commissions is facilitating the legalisation of land transaction but it often clashes with traditional systems for regulating modes of access to land like loans and donations. The model of female leadership is also in crisis as their exclusion from the dominant system of production no longer allows them to achieve social status and well-being. ";"M. Diarra
M. Monimart";"";"Drylands Programme, IIED";"BRIDGE";"2006-01-01";"en";"land;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"011;NER;017";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A24233";"http://www.iied.org/pubs/pdf/full/12535IIED.pdf";"";"";"";"";"Land rights;Human rights and social movements"
"bridge:A52824";"BRIDGE Report 56: Gender and Development: Facts and Figures";"";"What evidence is there of gender inequalities in life outcomes between women and men? This report provides facts and figures that expose gender inequalities, providing evidence of the need to engender development. It offers an insight into the available gender statistics in the following areas: poverty, health, access to resources, education, globalisation, governance, conflicts and emergencies, and human rights. The Beijing Platform for Action (1995) highlighted the different needs of women and men, girls and boys. Policies affect them in different ways and hence they experience development differently. But all have the right to share in the benefits of development. If sustainable development is to be achieved, an engendered approach to development policy and practice is essential. ";"H. Reeves
H. Wach";"";"Institute of Development Studies UK";"BRIDGE";"2000-02-01";"en";"land rights;development;food security";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"001";"Reports & Research;Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52824";"http://docs.bridge.ids.ac.uk/vfile/upload/4/document/1109/R56%20f%20and%20f.doc";"";"";"";"";"Food security;Economy and finance;Gender relations and power;Violence against women;Formal education;HIV/AIDS;Health systems;Human rights and social movements;Globalisation;Economic empowerment;Income distribution;Family structures and the household;Trade and industry;Domestic violence;Literacy;Sexual and reproductive health and rights (SRHR);Voluntary and forced migration;Governance and decision-making structures;Land rights;Human rights instruments;Water and sanitation;Health and well-being;Refugees;Allocation of resources;Female-headed households;Primary health care;Education and learning;Conflict, peace and security;Poverty and quality of life;Gender-based violence;Natural resources and the environment"
"bridge:A52843";"Rights and Reality, Are Women's Equal Rights to Land, Housing and Property Implemented in East Africa?";"";"Are women's equal rights to land, housing and property implemented in East Africa? How are land rights translated into national legislation in the Region? This books explores land, housing and property rights in Uganda, Tanzania and Kenya, and looks at how relevant international treaties are transformed into national legislation and policies in these three countries. A detailed analysis of constitutions and laws on land, housing, inheritance, marriage and divorce laws is also offered. In addition, the role of women's organisations and alliances in recent law reform is discussed, as well as the role of NGOs and paralegal networks in implementing women's rights at community level. Country-specific recommendations are provided, such as the need to: include provisions explicitly spelling women's equal rights to land in the Ugandan Land Act; amend the Tanzanian constitutions to include a provision that declares customary laws discriminating against women void; and to ensure gender balance in composition of land and judicial bodies in Kenya. ";"";"";"United Nations Human Settlements Programme ";"BRIDGE";"2002-09-01";"en";"property;land;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"TZA;KEN;UGA;014;018";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52843";"http://ww2.unhabitat.org/publication/hs66702e/default.asp";"";"";"";"";"Land rights;Human rights and social movements"
"bridge:A54316";"Gender and Economic Empowerment in Africa, 8th Meeting of the Africa Partnership Forum, Berlin, Germany, 22-23 May 2007";"";"There are multiple obstacles to the economic empowerment of women in Africa. For example, limited access to productive resources such as land, seed and fertiliser means that women may be unable to benefit from the expansion of trade in agricultural products. In fact, it has been calculated that agricultural productivity could increase by up to 20 percent if women's access to these resources were equal to men's. This paper - an outcome of the eight meeting of the African Partnership Forum - provides an overview of the status of women's economic empowerment in Africa, outlines international and regional commitments on gender equality and empowerment, and proposes concrete recommendations for African governments and development partners to translate these commitments into action. On land and property rights, it urges development partners to support African governments to establish clear legislative frameworks for protecting the rights of women to own and inherit land. This should be combined with advocacy and education to challenge deep-rooted cultural norms and practices which underlie discrimination in land tenure in Africa. Other recommendations include providing targeted support to women entrepreneurs managing small and micro-enterprises to enable them to expand into the formal sector; creating investment funds for women; and promoting gender-sensitive legislation on family rights. ";"";"";"Africa Partnership Forum";"BRIDGE";"2007-05-01";"en";"land rights;food security";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"018;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A54316";"http://www.africapartnershipforum.org/dataoecd/57/53/38666728.pdf";"";"";"";"";"Empowerment;Food security;Sustainable livelihoods;Allocation of resources;Economy and finance;Workers rights;Housing;Human rights and social movements;Gender relations and power;Income distribution;Infrastructure and services;Labour standards;HIV/AIDS;Land rights;Poverty and quality of life;Health and well-being;Paid work and care work;Natural resources and the environment;Agricultural workers;Economic empowerment;Financial policy"
"bridge:A52724";"Contested Terrain: Oxfam, Gender, and the Aftermath of War";"";"The topic of gender relations in the context of conflict covers highly sensitive terrain, not only within the war-torn society, but for intervening institutions. Like other international humanitarian agencies, Oxfam Great Britain (GB) has faced difficult questions about whether its presence has sometimes done more harm than good. External agencies also have to ask themselves whether their interventions impact negatively on women and gender relations. Generally, ideas about the importance of harmonising short-term help with long-term goals are not realised in practice and this has serious implications for gender power dynamics. Oxfam GB has a number of sets of guidelines and standards relating to gender for its emergency programming and while these have been implemented successfully in some instances, they are not routinely applied.Oxfam GB's programme in Kosovo revealed how conceptual and programmatic divides make implementation complicated and difficult. These divisions have critical implications for gender equity goals in responses to conflict and its aftermath:•Relief versus development responses - this divide persisted in policy and practice despite an acknowledgement that longer-term prospects for the survivors of conflict should influence relief efforts.• Conflict versus post-conflict contexts - the Kosovo intervention did not take into account that conflict-prone societies experience cyclical dynamics of turbulence and peace, rather than a linear progression from conflict to peace.• Technical versus social interventions - the emergency situation in Kosovo was not considered an appropriate setting in which to address gender relations because challenging gender power relations is difficult and does not produce obvious tangible results. Therefore, questions about the impact of technical interventions on gender relations were not considered.Such divides also created tension between those working on short-term goals and those working on a long-term timeline, particularly as funds were largely focused on short-term relief and technical work. Due to perceptions of the 'private/domestic' as separate from the 'public' sphere and their associated gender ideologies, interventions were focused on the 'public' without consideration for the link with and impact on 'private' issues.To overcome these limitations, the Oxfam report recommends:• The systematic integration of gender equity goals within all aspects of emergency response programming. This would help to establish greater coherence between immediate emergency relief and longer-term recovery work.• Clear analysis of the dynamics between violence and conflict and the maintenance of gender identities, interests and power. For example, a clearer understanding of the links between gendered violence and armed conflict would help Oxfam GB overcome the divide between the private and the public spheres and direct its programmes towards peace and human security at all levels, from the household to the nation.Gender standards for humanitarian response have since been developed by the Oxfam Humanitarian Department and have been used in the post-conflict Sierra Leone and Angola, as well as other humanitarian responses in Cambodia, Kenya, Malawi, Zambia, Zimbabwe, West Bengal and Mozambique. ";"S. Williams";"";"Oxfam";"BRIDGE";"2001-12-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"SVN;LIE;151;SVK;HUN;HRV;AUS;DEU;POL;MAC;030;CZE;CHE";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52724";"http://publications.oxfam.org.uk/download.asp?dl=http%3A%2F%2Fwww%2Einformaworld%2Ecom%2Fsmpp%2Fftinterface%3Fcontent%3Da741924309%26%23x26%3Bformat%3Dpdf%26%23x26%3Bmagic%3Doxfam%7Ctnn713422432cerv9n3x0s3%7CD31FB1F7FFE62064F9C688E40EBC8DCF%26%23x26%3Bft%3D%2Epdf";"";"";"";"";"Policy change;Gender relations and power;Violence against women;Conflict, peace and security;Human rights and social movements;Participation and exclusion;Information rights;Economic empowerment;Human rights instruments;Family structures and the household;Domestic violence;Political participation;The military;Gender mainstreaming tools and approaches;Life skills;Voluntary and forced migration;Governance and decision-making structures;Land rights;Emergency relief;Refugees;Sexual violence;Allocation of resources;Female-headed households;Education and learning;Democratic processes;Conflict resolution;Poverty and quality of life;Gender-based violence;Widows"
"bridge:A52846";"Shadow Report, Ethiopia 2003 (Executive Summary)";"";"This shadow report, produced by NEWA and EWLA, offers a critique of the Ethiopian government's CEDAW report by looking at three broad areas: economic and socio-cultural status of women, equality in marriage and family relations and violence against women. The report acknowledges the considerable efforts made by the Ethiopian government to address its CEDAW obligations, but cites weak enforcement, poor policy guidelines and a lack of institutional commitment as ongoing problems. Without gender-disaggregated data, and without proper follow-up on government initiatives, it is impossible to know the impact these changes are having. Women in Ethiopia are still disproportionately disadvantaged, with most working in the informal sector. Under-representation of women in the public sphere is also cited as problematic. Changes in education policy are not translating into improved enrolments, with sizeable gaps in the male-female ratio in primary and secondary schools persisting. Women's concerns in relation to health are overlooked, including areas such as contraception, maternal care and HIV/AIDS. The elimination of legal discrimination against women through changes to family law is a significant step forward, although there are still gaps in divorce law and little enforcement to protect women against violence. ";"";"";"Ethiopian Women Lawyers Association";"BRIDGE";"2003-01-01";"en";"land rights;food security;rural development";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"018;ETH;014";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52846";"http://www.peacewomen.org/un/ecosoc/30cedawEthiopia.pdf";"";"";"";"";"Cultural diversity;Food security;Sustainable livelihoods;Economy and finance;Divorce;Housing;Social protection;Violence against women;Infrastructure and services;Formal education;HIV/AIDS;Health systems;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Globalisation;Domestic violence;Allocation of resources;Income distribution;Ageing and older people;Trade and industry;Economic empowerment;Rural development;Gender relations and power;Political participation;Literacy;Diversity and difference;Gender mainstreaming tools and approaches;Land rights;Social responsibility;Sexual and reproductive health and rights (SRHR);Governance and decision-making structures;Micro-credit;Labour standards;Marriage;Human rights instruments;Water and sanitation;Poverty and quality of life;Health and well-being;Family structures and the household;Sexual violence;Harmful cultural practices;Policy change;Citizenship;Female-headed households;Gender budgets;Primary health care;Education and learning;Aid effectiveness;Democratic processes;Poverty alleviation;Advocacy and advocacy tools;Life skills;Gender-based violence;Paid work and care work;Natural resources and the environment;Social movements"
"bridge:A52821";"An Analysis of the WTO-AOA Review from the Perspective of Rural Women in Asia";"";"How does the World Trade Organization's (WTO) Agreement on Agriculture (AOA) affect the livelihoods of rural women in Asia? This paper, prepared on the occasion of the WTO-AOA review in 2003, analyzes the impact of the new trading rules imposed by the WTO on Asian peasants. It illustrates the inherent imbalances in the WTO-AOA's trade liberalisation policies which, among other things, flood local markets with highly subsidized agricultural imports from developed countries to the detriment of domestic agriculture. These trade rules have devastated local agriculture, caused widespread unemployment, and worsened rural poverty, particularly for women. Displaced from farming, while still responsible for their families' survival, unskilled rural women are forced to accept temporary low paying jobs in the informal sector or to migrate to cities and foreign countries to perform menial jobs. The paper issues a proposal for action to reverse the negative impact of trade liberalisation policies. This includes a call on women's groups to hold national governments accountable to the concessions they made under the AOA, and to pressure their governments to reverse the policies which harm small farmers and rural women. ";"A. Glipo";"";"";"BRIDGE";"2003-02-01";"en";"land rights;food security;women";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"IDN;030;035;PHL";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52821";"http://www.igtn.org/pdfs/38_AsiaAoA.pdf";"";"";"";"";"Cultural diversity;Policy change;Sustainable livelihoods;Economy and finance;Diversity and difference;Food security;Human rights and social movements;Globalisation;Labour standards;Trade and industry;Workers rights;Voluntary and forced migration;Governance and decision-making structures;Land rights;Macro-economics;Financial policy;Agricultural workers;Democratic processes;Financial institutions;Poverty and quality of life;Paid work and care work;Natural resources and the environment"
"bridge:A52822";"Rulemaking and Governance for Trade Intensification Asian Women's Views";"";"This economic literacy pack, the third in this series, is a tool for educating local women's constituencies on trade rules and negotiations. It explores four main themes, firstly 'How the WTO Treats National Health Emergencies in the Rubric of Trade Related Intellectual Property Rights (TRIPS)'. This section demonstrates how the agreement protects the patent interests of private pharmaceutical firms based in developed countries, while jeopardizing the public health of the poor in developing countries. This is done through, for example, denying disadvantaged groups in the South, particularly women, access to cheaper generic copies of lifesaving medicines for HIV/AIDS, TB and Malaria treatment that are produced in developed countries. Other themes are 'The Myth of Market Access in the Agreement on Agriculture (AOA)'; 'Entitlement to Food: the Alternative to Market Access'; and 'From Free Trade to Human Freedom'. The pack also contains a literature review of select IGTN resources from Asia, Latin America, the US and Africa. ";"";"";"";"BRIDGE";"2003-01-01";"en";"land rights;food security;rural development;women";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"030";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52822";"http://www.genderandtrade.net/EconoLit/AsiaPacket3.pdf";"";"";"";"";"Labour standards;Food security;Financial policy;Economy and finance;Trade and industry;Governance and decision-making structures;Financial institutions;Infrastructure and services;Land rights;Policy change;Democratic processes;Rural development;Human rights and social movements;Health and well-being;Macro-economics;Paid work and care work;Natural resources and the environment"
"bridge:A54061";"Human Security and Aboriginal Women in Canada";"";"Aboriginal women in Canada are at the forefront of resistance when it comes to threats to their land and culture. This is the conclusion of this study, which examines the links between Aboriginal women, protest and human security. The study shows that restrictions on fishing rights, expansion in logging, and ski-resort development are being fiercely fought by Aboriginal women. They stand in front of trains, blockade roads and mobilise demonstrations and this often results in clashes with authorities and police violence. Aboriginal women both use and challenge their gender roles. They fight to protect their children's rights as traditional home keepers and life givers and preservers and at the same time challenge traditional ideas of motherhood when they argue for their need to be absent from home. The study concludes with a look at Bill C-36, new Canadian anti-terrorist legislation that increases police powers and curbs civil rights to protest. The report argues that this legislation could be used to further repress Aboriginal protest and recommends that Aboriginal communities be exempt from this law. ";"C. Deiter
D. Rude";"";"Status of Women Canada";"BRIDGE";"2005-12-01";"en;fr";"land rights;women";"Land & Gender";"Access to Land & Tenure Security";"021;CAN";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A54061";"http://www.swc-cfc.gc.ca/pubs/pubspr/0662424263/index_e.html";"";"";"";"";"Cultural diversity;Policy change;Diversity and difference;Gender mainstreaming tools and approaches;Advocacy and advocacy tools;Democratic processes;Land rights;Governance and decision-making structures;Human rights and social movements;Indigenous societies"
"bridge:A54336";"Gender Justice in Sub-Saharan Africa";"";"This paper presents an overview of key issues in the literature on gender justice in the sub-Saharan Africa region. Issues discussed include the exclusion of women from full citizenship status; gender inequalities in property relations, family relations and access to justice; and disregard for women's and men's sexual and reproductive health and rights. The paper goes on to reflect on the links between research and advocacy on women's rights in the region, noting the decline over the past decade in academic research capacity in African universities, including in gender and women's studies departments. The need for better dissemination and visibility of literature generated by research and advocacy in the region is also seen as a problem. Initiatives by key donors in sub-Saharan Africa to address gender injustices are outlined, including initiatives by the African Development Bank, the United Nations Fund for Women and the Ford Foundation. Lastly, a region-wide assessment of the key achievements in, and challenges to, achieving and institutionalising gender justice is provided - particularly highlighting the passage of the Protocol to the African Charter on Human and Peoples' Rights on the Rights of Women in Africa as a major achievement. ";"C. Nyamu-Musembi";"";"";"BRIDGE";"2007-01-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"018;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A54336";"http://www.sarpn.org/documents/d0002823/Formal_substantive_citizenship_Nyamu-Musembi.pdf";"";"";"";"";"Citizenship;Human rights instruments;Land rights;Governance and decision-making structures;Human rights and social movements;Civil society"
"bridge:A54322";"BRIDGE Bibliography 19: Putting gender back in the picture: rethinking women's economic empowerment - overview and annotated bibliography";"";"Current momentum around women's economic empowerment offers huge scope for bringing about real changes in women's lives. But earning an income or having access to credit cannot be assumed to bring automatic benefits for women. We need to ask critical questions about how increased access to resources can be translated into changes in the strategic choices that women are able to make - at the level of the household and community, as well as at work. What of the terms on which women gain access to resources - are these empowering or exploitative? And what are the impacts of women's greater access to resources on gender relations and norms more broadly? The first section of this resource provides an overview which explores the dominant analysis taking hold around women's economic empowerment and highlights critical issues that remain as yet on the margins of debate and action. It seeks to promote a nuanced understanding of the gendered barriers that prevent some women from benefiting from economic opportunities or from being empowered despite access to these opportunities. It goes on to suggest a practical starting point for overcoming some of these barriers: tackling the 'double burden' of paid work and care work that is shouldered by so many women. The second section provides an annotated bibliography of useful, relevant and timely resources related to the issues covered in the overview. Summaries and publication details of each resource are included in the bibliography. ";"A. Brody
E. Esplen";"";"Institute of Development Studies UK";"BRIDGE";"2007-12-01";"en";"land rights;women";"Land & Gender";"Access to Land & Tenure Security";"001";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A54322";"http://www.bridge.ids.ac.uk/reports/BB19_Economic_Empowerment.doc";"";"";"";"";"Empowerment;Labour standards;Economy and finance;Income distribution;Gender relations and power;Trade and industry;Human rights and social movements;Micro-credit;Land rights;Poverty and quality of life;Macro-economics;Paid work and care work;Economic empowerment"
