id,title,description,acronym,start_date,end_date,funding,project_url,countries,donor,related_overarching_categories,related_themes,related_concepts
,Securing Rights to Land and Natural Resources for Biodiversity and Livelihoods: Kenya,"<p><b>Securing Rights to Land and Natural Resources for Biodiversity and Livelihoods (SECURE)</b> supported the Kenya Ministry of Lands and the Kenya Wildlife Service to strengthen land and resource rights of indigenous coastal communities, improve livelihoods, promote sustainable natural resource management, and support biodiversity conservation in and around three national reserves on the northeast coast of Kenya.</p>
<h2>Objectives</h2>
<ul>
<li>Improve land and natural resource tenure security and reduce conflict over natural assets.</li>
<li>Improve management of protected and biologically sensitive areas.</li>
<li>Provide lessons learned to inform policy implementation and development.</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Provided assessments for three land bills leading to stronger and more inclusive language in the final bills which were passed by the Kenyan Parliament and signed by the President in June 2012.</li>
<li>Providing on-going assistance for improvements to the Community Land Law in Kenya.</li>
<li>Completed a participatory mapping process in the Boni-Lungi-Dodori forest areas of Lamu County that inventoried natural resources for the purpose of identifying community land boundaries, protecting/conserving area resources, and serving as the framework for establishing shared use and access rights.</li>
</ul>",,2009,2012,USD 1192809,https://www.land-links.org/project/securing-rights-to-land-and-natural-resources-for-biodiversity-and-livelihoods-kenya/,KEN,USAID,"Land Use, Management & Investment","Land, Climate change & Environment",environment;climate change;sustainable land management;natural resources management
,Rwanda LAND Project,"<p>The LAND project is a five year program supported by the United States Agency for International Development (USAID). Its primary goal is strengthening the resilience of Rwandan citizens, communities and institutions and their ability to adapt to land-related economic, environmental and social changes.</p>
<p>Resilience is defined as “the ability to withstand or recover from difficult conditions.” It also comprises the ability of human and ecological systems to recover from shocks or difficult changes, and to transform to a better condition by responding flexibly and creatively to stress factors. In Rwanda, land tends to be one of the primary assets citizens rely on to buffer against difficult conditions and rapid change.</p>
<p>Land pressures in Rwanda are extremely high and land-related conflicts comprise 70-90% of disputes. The LAND Project works to improve the effectiveness of land dispute resolution, which is a critical component of building resilience.</p>
<h2>Objectives</h2>
<ul>
<li>Increase capacity of local Rwandan institutions to generate high quality, evidence-based research on land-related issues that can be used by the Government, civil society organizations, and Rwandan citizens.</li>
<li>Increase understanding of land laws, policies, regulations, and legal judgments on land-related issues by GOR officials, local civil society organizations, research institutes and citizens.</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>Holding annual National Land Research Agenda workshops to establish the research priorities of land sector stakeholders that the LAND Project will support. These workshops will bring together multiple stakeholders from government, civil society and the research community;</li>
<li>Supporting research on land-related issues through competitive awards to Rwandan research institutions, universities, and civil society organizations, and providing tailored capacity building assistance to improve research and advocacy capabilities;</li>
<li>Offering training and other support to legal aid providers to enhance their capacity to support vulnerable populations in understanding and realizing their land rights;</li>
<li>Supporting capacity building efforts targeting local mediation committees (abunzi) in order to improve their application of land laws and regulations and to strengthen their mediation skills;</li>
<li>Developing a land-focused website to improve research, communications, and policy advocacy efforts that are focused on land, and to act as a vehicle for enhancing collaboration between actors working in the land sector;</li>
<li>Strengthening cooperation between government institutions to enhance the provision of dispute resolution services to Rwandan citizens;</li>
<li>Deepening skills of local universities to undertake empirical research on gender and land through partnerships with international universities; and</li>
<li>Supporting innovative and coordinated communications approaches and public awareness campaigns that will enhance the knowledge of Rwandan citizens about research findings and their land rights.</li>
</ul>",,2012,2017,USD 12000000,https://www.land-links.org/project/rwanda-land-project/,RWA,USAID,,Land Conflicts;Socio-Economic & Institutional Context,land conflicts;development;land governance;sustainable development
,Strengthening Environmental and Agricultural Research: Zambia,"<p>The goal of the program is to positively impact the development and implementation of favorable agricultural and environmental policy that promotes agricultural-led, broad-based economic growth leading to a decrease in poverty and hunger, incorporating cross-cutting factors such as sustainable natural resource management, land tenure, gender, resilience, adaptation and mitigation to climate change, research and technology, and nutrition, through institutionalizing and indigenizing evidence-based policy discussion, formulation and implementation by and among broad stakeholders and government actors.</p>",,2014,2019,USD 9500000,https://www.land-links.org/project/strengthening-environmental-and-agricultural-research-zambia/,ZMB,USAID,,Socio-Economic & Institutional Context;Land & Food Security,development;food security;sustainable development
,Strengthening Property Rights in Timor-Leste,"<p>This program aimed to strengthen and clarify property rights, including aiding government to develop implementing regulations for the land law (i.e., registration, taxation, valuation, expropriation, foreign ownership).</p>
<h2>Objectives</h2>
<ul>
<li>Clarify and strengthen people’s rights in land and property through land policy, law, and regulations.</li>
<li>Increase people’s understanding of their rights and responsibilities under law by supporting public information awareness.</li>
<li>Strengthen the country’s cadastre, land registration, and land administration system to connect rights in law with rights of land and property holders on the ground.</li>
<li>Assist the national and regional governments with mediation and reconciliation to reduce conflict over resources and provides people with effective legal protection.</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Recorded 53,814 land claims for 50,101 parcels of land, since October 2011, in a process that is free of charge to participants and decentralized.</li>
<li>Developed an extensive public information awareness campaign explaining data collection processes as well as broadcasting messages explaining such concepts as “freedom to claim,” “peaceful resolution of disputes,” and “gender equity and joint claims by husbands and wives”.</li>
<li>Provided support for the Ministry of Justice and the Gusmão Administration’s Land Law Working Group to finalize a Land Bill for that was passed in Parliament in March 2010.</li>
<li>Trained local government officials on land-dispute mediation that supports land ownership data collection activities.</li>
</ul>",,2007,2012,USD 9875734,https://www.land-links.org/project/strengthening-property-rights-in-timor-leste/,TLS,USAID,,Land Conflicts,land conflicts;land governance
,Strengthening Urban Resilience for Growth with Equity: Philippines,"<p>With wealth concentrated in Metro Manila and a few other primary cities, secondary and tertiary cities must elevate their role in spreading economic development. The <strong>Strengthening Urban Resilience for Growth with Equity (SURGE)</strong> Project is a five-year, $47.8 million project, which fosters the development of conditions for broad-based, inclusive and resilient economic growth for a critical mass of cities and surrounding areas outside Metro Manila, Cebu, and Davao. SURGE assists cities and adjacent areas to plan effectively, guarantee basic public services, reduce business transaction costs, promote competitiveness, support sustainable development, and reduce disaster and climate change risks while ensuring inclusive and sustainable growth.</p>
<p>SURGE is the flagship project of USAID’s <a href=""https://www.usaid.gov/philippines/partnership-growth-pfg/cdi"">Cities Development Initiative</a>, a crucial component of the broader <a href=""https://www.usaid.gov/philippines/partnership-growth-pfg"">Partnership for Growth (PFG)</a>. A White House-initiated “whole of government” partnership between the U.S. Government and the Government of the Philippines, PFG aims to shift the Philippines to a sustained and more inclusive growth trajectory on par with other high‐performing emerging economies.</p>
<p>Activities under SURGE focus on four key areas:</p>
<ol>
<li>Strengthening local capacity in inclusive and resilient urban development, including the promotion of disaster risk reduction and climate change adaptation, and ensuring access to sustainable water supply and sanitation services</li>
<li>Promoting low-emission local economic development strategies together with streamlined administrative and regulatory procedures and improved infrastructure and transport system</li>
<li>Expanding economic connectivity and access between urban and rural areas</li>
<li>Strengthening multisectoral capacity to provide health and other basic services to ensure social inclusion</li>
</ol>
<p>In line with the Cities Development Initiative’s approach of providing a multi-faceted package of assistance, SURGE leverages and works with existing USAID projects in economic growth, environment, energy and climate change, health, and education. USAID also works in partnership with the cities of Batangas, Cagayan de Oro, Iloilo Puerto Princesa, Tagbilaran, Zamboanga, and will cover additional cities in the near term.</p>
<p>Within the objective of promoting local economic development, SURGE is also improving land tenure security and land information management in selected cities, including Antipolo City. SURGE will undertake the following activities:</p>
<ul>
<li>Develop comprehensive city land tenure profiles</li>
<li>Provide assistance in the preparation of Land Tenure Improvement Plans and consolidated maps for pilot villages</li>
<li>Assist selected cities in the inventory of government lands</li>
<li>Conduct an international conference on land tenure to provide a venue for sharing and disseminating good practices on land tenure and property rights improvement.</li>
</ul>
<p>SURGE is currently conducting in-depth area assessments to inform the specific nature of assistance in each of the cities.</p>
<h2>Outcomes</h2>
<p>SURGE created and launched a Stakeholders’ Forum, a platform for engagement among the various city actors, in each of the Cities Development Initiative partner cities. Each forum enables regular dialogues among critical government and non-government stakeholders to discuss issues in urban planning, local economic development, and urban-rural linkages, and identify and implement priority actions for each city.</p>
<h2>Objectives</h2>
<ul>
<li>Improve urban development and planning</li>
<li>Promote low-emission local economic development</li>
<li>Facilitate greater connectivity and access between urban and rural areas</li>
<li>Promote social inclusion</li>
</ul>
<p> </p>",,2015,2020,USD 47800000,https://www.land-links.org/project/strengthening-urban-resilience-growth-equity-philippines/,PHL,USAID,,Urban Tenure;Socio-Economic & Institutional Context,development;urbanization;urban areas;land development (urbanization);sustainable development
,Sudan Property Rights Program,"<p>The <b>Sudan Property Rights Program (SPRP)</b>, September 2008 – March 2011, assisted the Government of Southern Sudan (GOSS) to develop a draft land policy based on extensive public consultation and research, as well as provided support to build the capacity of the Southern Sudan Land Commission (SSLC). A follow-on project, the Sudan Rural Land Governance Project (SRLG, 2011 – 2013) will help harmonize the land policy with the 2009 Land Act and support selected State and local governments for more effective land administration and planning.</p>",,2008,2011,USD 5000000,https://www.land-links.org/project/sudan-property-rights-program/,SDN,USAID,,,
,Sudan Rural Land and Governance Project,"<p>The <b>Sudan Rural Land and Governance (SRLG)</b> project is a follow-on project to the <a href=""/project/sudan-property-rights-program"" target=""_new"">Sudan Property Rights Program (SPRP)</a>, which assisted the Government of Southern Sudan (GOSS) to develop a draft land policy based on extensive public consultation and research, as well as provided support to build the capacity of the South Sudan Land Commission (SSLC). The Sudan Rural Land and Governance project helps to harmonize the land policy with the 2009 Land Act, supports two selected States and two Counties governments for more effective land administration and planning.</p>
<p>The goal of this project is to define and establish rural land governance institutions and processes so as to promote property rights, encourage sound land use management, mitigate conflict, reduce the potential for rural landowners to be divested of their land, and to encourage broad based participation in future land allocation, management, and investment decisions.</p>
<h2>Objectives</h2>
<ul>
<li>Provide ongoing technical assistance at the National level to South Sudan Land Commission to refine the Land Act 2009 and other related legislation as a result of the final policy outcomes,</li>
<li>Develop draft implementing regulations at the State-level to stipulate land governance processes and related institutions in rural areas,</li>
<li>Pilot these regulations through establishment and operationalization of at least two County Land Authorities (CLAs), and</li>
<li>Build capacity of State and County level land authorities through site specific actions to secure land tenure and improve land use planning in each of the two counties to attract local and foreign investments.</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>3,758 families/parcels and 286.27 km2 demarcated in Yambio Payam, Western Equatoria State.</li>
<li>Communities involved in land inventory consulted on investment planning opportunities, risks and benefits via consultation. Discussions between potential investors and communities have been initiated by the project.</li>
<li>Methodology for landscape-scale land use planning in the Sudd area of Bor County completed and Bor County Land Authority trained in its implementation.</li>
<li>Land use map and agreed rules governing access and use of the Sudd in Bor County established and will be vetted by the communities.</li>
<li>County Land Authority office buildings constructed in Yambio County, Western Equatoria State and Bor County, Jonglei State and officially handed over to the county authorities.</li>
<li>Management plans, budgets, and codes of ethics for Yambio County, Western Equatoria State and Bor County, Jonglei State County Land Authorities completed.</li>
<li>20 Yambio County, Western Equatoria State and Bor County, Jonglei State County Land Authority Representatives selected and fully trained to improve technical and management capacity pertaining to land administration and adjudication.</li>
<li>Final analysis of Land Act 2009 and other related legislation identifying critical gaps and inconsistencies with the Land Policy completed.</li>
</ul>",,2011,2014,USD 8998131,https://www.land-links.org/project/sudan-rural-land-and-governance-project/,SSD;SDN,USAID,"Land Use, Management & Investment",Land Conflicts;Land & Investments;Socio-Economic & Institutional Context,land conflicts;development;land governance;land investments;sustainable development
,Supporting the Justice and Security Sector through Property Rights in Libya,"<p>Through the SJSSPR project, USAID will use interventions that target property rights as the primary lens through which to work with Libyans to help them deliver justice and security. Property rights has been chosen as the primary focus of this project because its multi-dimensional nature allows USAID to support the evolution of Libya’s conflict resolution systems and thereby help mitigate potential conflict, as property rights appear to be a primary source of potential conflict throughout Libya.</p>
<h2>Objectives</h2>
<ul>
<li>Gain a better understanding of the local security and justice dynamics related to property rights, and identify possible interventions to inform Libyan efforts and USG programming.</li>
<li>Support the efforts of local actors to better understand and respond to housing, land, and property disputes through improved dispute resolution systems and procedures.</li>
<li>Improved economic growth and increased private-sector investment</li>
<li>Work with Libyan actors to identify and analyze critical and systematic housing, land, and property issues and other related critical grievances.</li>
<li>Ensure significant issues uncovered during the work of the project—including those related to gender and minorities—are discussed, debated, and are brought to requisite level of government attention.</li>
</ul>",,2013,2013,,https://www.land-links.org/project/supporting-the-justice-and-security-sector-through-property-rights-in-libya/,LBY,USAID,,Land Conflicts;Socio-Economic & Institutional Context,development;land conflicts;land governance;sustainable development
,Sustainable and Thriving Environments for West African Regional Development: Sierra Leone,"<p>The <strong>Sustainable and Thriving Environments for West African Regional Development (STEWARD)</strong> project is actively working in PZ1, training community members of Fintonia village, located in Sierra Leone. The local community has participated in workshops on a Geographical Positioning System (GPS) and the principles of community land-rights mapping. The capacity building workshop enabled members of the community to work hand in hand with Thomson Reuters to be able to use a GPS to map their owned land in relation to the forest areas of PZ1. Thomson Reuters has collected a set of data and has generated a map of Fintonia that not only describes the land tenure but also the ownership of the lands of Fintonia.</p>",,2011,2015,,https://www.land-links.org/project/sustainable-and-thriving-environments-for-west-african-regional-development-sierra-leone/,SLE,USAID,,,
,"Supporting Access to Justice, Fostering Peace and Equity: Uganda","<p>The purpose of the USAID/Uganda <b>Supporting Access to Justice, Fostering Peace and Equity (SAFE)</b> program is to support peace building and conflict mitigation in Uganda by strengthening mechanisms for resolution of conflicts over land, oil and ethnic diversity. This project will further enhance the capacity of local actors to prevent violent conflict and transform them into peaceful outcomes while promoting reconciliation. Through training, technical assistance and providing grants to Civil Society Organizations (CSOs), SAFE will focus on the oil rich Albertine region, the Lord’s Resistance Army (LRA) affected Northern Uganda, and Central Uganda as primary entry points.</p>
<p>SAFE will use a two pronged approach; first, it will strengthen systems of land administration; reinforce both formal and informal dispute resolution mechanisms and create awareness of the systems. Secondly, it will support local actors to prevent and transform emerging conflict into peaceful outcomes. Working with community networks, faith based organizations (FBOs), local government structures and CSOs, where appropriate, SAFE will build indigenous capacity for conflict prevention and reconciliation in Uganda.</p>
<h2>Objectives</h2>
<ul>
<li>Make institutions for land administration and dispute resolution more accountable and accessible</li>
<li>Make administrative land management and legal aid services more efficient</li>
<li>Increase legal awareness on land matters</li>
<li>Improve Non-State Actor Oversight</li>
<li>Transform emerging violent conflict into peaceful outcomes</li>
<li>Enhance processes for community reconciliation</li>
</ul>",,2012,2017,USD 15000000,https://www.land-links.org/project/supporting-access-to-justice-fostering-peace-and-equity-uganda/,UGA,USAID,,,
,Support Program for Economic and Enterprise Development: Mozambique,"<p><b>Support Program for Economic and Enterprise Development (SPEED)</b> is a USAID project to improve the business environment through better trade and investment policies. SPEED’s goal is to have more companies doing more business, resulting in increased trade and investment and a stronger competitive position for Mozambican firms, thus creating local opportunities for jobs and income growth.</p>
<p>The project focuses on reforming trade and investment policies and also emphasizes the policy implementation process, including monitoring implementation of reforms. SPEED’s work also focuses on increasing transparency around the legal framework for obtaining land use rights in Mozambique. The SPEED team delivers training and technical assistance that builds the capacity of business associations and corresponding government institutions and catalyzes trade and investment in Mozambique.</p>
<h2>Objectives</h2>
<ul>
<li>Reduce the cost of doing business</li>
<li>Enhance Mozambique’s competitiveness</li>
<li>Create local opportunities for job and income growth</li>
<li>Improve the business environment in trade and investment</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>The recommendations and reforms at the municipal level in Maputo promise to save businesses more than 200 days to obtain their construction permits, with an estimated total savings to the private sector of nearly $25 million per year</li>
<li>The development of a legal framework that would formalize public participation in the policy process and support to the Mozambique Institute of Directors (IOD) to develop a corporate code of ethics</li>
<li>Supported more than 30 capacity-building events in support of its technical programs, with a total of around 1,700 participants, including around 326 women</li>
</ul>",,2010,2014,USD 19000000,https://www.land-links.org/project/support-program-for-economic-and-enterprise-development-mozambique/,MOZ,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Tajikistan Land Reform and Farm Restructuring Project,"<p>The purpose of the <b>Tajikistan Land Reform and Farm Restructuring Project (LRFRP)</b> was to support the continuing progress of dehkan farm restructuring and recognition of property rights leading to a market in land use rights. The LRFRP focused on policy and legal development, expanding awareness of land-use rights among rural government and citizen stakeholders, facilitating acquisition of land-use certificates, and building government capacity to effectively develop, monitor and implement the land reform process.</p>
<h2>Objectives</h2>
<ul>
<li>Provide technical support to the Government of Tajikistan to develop a land policy and appropriate legislation</li>
<li>Build capacity of government officials, farmers, civil society organizations and other rural stakeholders to capitalize on land reform</li>
<li>Help local government officials, farmers, and other stakeholders learn about land reform and the expansion of land-use rights of farmers in order to foster greater transparency in land administration, leading to more efficient use of land which will stimulate increased farm incomes and strengthened economic development in the agricultural sector</li>
<li>Support the provision of legal advice and other assistance to promote farm restructuring and the development of a market in land-use rights</li>
</ul>",,2013,2016,USD 5500000,https://www.land-links.org/project/tajikistan-land-reform-and-farm-restructuring-project/,TJK,USAID,,Land & Food Security,food security
,Tajikistan Land Reform and Farm Restructuring Project,"<p>This project strengthened land rights by (1) assisting the Government of Tajikistan in developing land-related legislation (2) empowering farmers with information to assert their rights over land, and (3) supporting regional legal aid centers and rural land activists in educating farmers on their rights, providing mediation, and advocating on behalf of farmers’ interests in court.</p>",,2008,2009,USD 2369067,https://www.land-links.org/project/tajikistan-land-reform-and-farm-restructuring-project-2/,TJK,USAID,,Land & Food Security,food security
,Tanzania Policy Project,"<p>The Tanzania <b>SERA project</b> assists both the Government of the Republic of Tanzania (GoT) and the private sector to enable a broad‐based, sustainable transformation of the agricultural sector through policy reform. The vision for this project is twofold: to improve the policy and regulatory environment for agriculture growth and to build a group of public sector institutions, advocacy organizations, and individuals capable of performing rigorous policy analysis and advocating for policy reform.</p>
<h2>Objectives</h2>
<ul>
<li>Working closely with other donors in the country, the SERA project is contributing analysis that will help inform the Government of Tanzania’s land policy, particularly the land for equity model.</li>
<li>This analysis is meant to support the implementation of land policies that protect smallholder rights while also enabling domestic and foreign investment under Government agricultural initiatives such as the Southern Agricultural Growth Corridor of Tanzania (SAGCOT).</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>A Land Allocation and Compensation Study will inform Tanzanian government officials, other decision makers and stakeholders of land allocation and compensation approaches being used in Africa and beyond.</li>
<li>The study will include a review of existing laws governing allocation and compensation of land in selected African countries (including Tanzania), examples of the various types of land allocation and compensation approaches being used in the region, and a review of best practices and innovative approaches being used in Africa or in other regions.</li>
<li>Best practices in land valuation in the Africa region will also be identified and discussed.</li>
</ul>",,2012,2016,USD 1500000,https://www.land-links.org/project/tanzania-policy-project/,TZA,USAID,,,
,Tenure and Global Climate Change: Burma,"<p>Using policy engagement, pilot interventions, in-depth case studies, and quantitative and qualitative analysis, the USAID <strong>Tenure and Global Climate Change project</strong> is advancing knowledge and practice on how land tenure and resource rights relate to global efforts to mitigate and adapt to climate change. Burma is experiencing rapid economic transformation across multiple sectors in urban, peri-urban and rural areas. This transition is creating risks for the environment and economic opportunities for Burma’s diverse population, and placing new importance on responsible governance of land and natural resources, as secure land tenure is a cornerstone for peace and stability. As policies and legislation are developed to better govern these resources, existing communal and customary rights must be incorporated. At the same time, new policies must be piloted in various communities to demonstrate broad applicability before national activities are launched.</p>
<p>Land-based natural resources in the country, including farmland and forests that are needed for urban expansion or infrastructure projects, will be essential components of a more equitable approach to national economic development. Decisions on how land will be used, by whom, and for what purposes could have far reaching consequences for the people of Burma, the majority of whom are currently smallholder farmers living in the countryside.</p>
<p>USAID works in close collaboration with the Ministry of Natural Resources and Environmental Conservation (MONREC), multiple civil society organizations and other groups, both public and private, to ensure the successful implementation of this project.</p>
<h2>OBJECTIVES</h2>
<p>USAID’s Land Tenure Project has a number of inter-related objectives focused on contributing to the goals of broad-based economic development, improving livelihoods in rural areas, promoting sustainable land use management and achieving resilient community development. Specific goals include:</p>
<ul>
<li>Supporting the development and implementation of a National Land Use Policy and related laws that clarify rights and encourage sustainable use of land and natural resources;</li>
<li>Strengthening the land tenure, resource, and property rights of rural individuals, households and communities, with particular attention to women, ethnic minorities, smallholder farmers and other vulnerable groups; and,</li>
<li>Increasing consultation among government, civil society and business on issues of broad public concern related to land tenure and land use.</li>
</ul>
<h2>ACTIVITIES</h2>
<p>USAID is supporting the above activities through the following activities:</p>
<ul>
<li>Providing technical assistance to further develop the policy, legal and regulatory framework for land governance through a focus on land, forests and other natural resource rights and management;</li>
<li>Conducting pilots that include participatory mapping, formal recognition of customary land and resource tenure and approaches to alternative land dispute resolution;</li>
<li>Raising public awareness and participation on the policy and pilot implementation process with educational and outreach materials; and,</li>
<li>Conducting research and monitoring that will inform further legal development and policy implementation.</li>
</ul>",,2013,2017,USD 13400000,https://www.land-links.org/project/tenure-global-climate-change-burma/,MMR,USAID,,,
,Tenure and Global Climate Change: Vietnam,"<p>Globally, the impacts of climate change and society’s response are significantly affecting resource tenure governance, the rights of communities and people, and their livelihoods. In turn, resource tenure and property rights issues are widely recognized as crucial in the success of many climate change-related initiatives. Interventions that strengthen resource tenure and property rights governance can help reduce vulnerability; increase the resilience of people and ecosystems in the face of climate impacts; and promote resource use practices that achieve adaptation, mitigation, and development objectives.</p>
<p>Using policy engagement, pilot interventions, in-depth case studies, and quantitative and qualitative analysis, the USAID <strong>Tenure and Global Climate Change project</strong> is advancing knowledge and practice on how land tenure and resource rights relate to global efforts to mitigate and adapt to climate change. Building on lessons from USAID’s deep history in land tenure and property rights, TGCC project staff are supporting USAID missions to assess <strong>marine resource tenure systems</strong> and develop interventions that lead to achievement of biodiversity conservation, climate change adaptation, and resource productivity objectives. The governance of marine resources affects the livelihoods of hundreds of millions of people globally. The application of secure tenure and property rights to coastal and marine systems has the potential to strengthen programming and build the resilience of the people and institutions who rely on these resources. Within this coastal ecosystem, <strong>mangrove forests</strong> hold immense carbon stocks and face unique threats as they often have ambiguous and overlapping governance regimes among communities, government agencies and private sector actors. TGCC is supporting resource tenure analyses of mangrove systems alongside the development of pilot intervention activities in <strong>Vietnam</strong>.</p>",,2013,2018,USD 13400000,https://www.land-links.org/project/tenure-global-climate-change-vietnam/,VNM,USAID,,,
,TIERRAS Land Conflict Resolution in El Quiche: Guatemala,"<p>This project built on the alternative land conflict resolution model developed in the TIERRAS I and II projects, expanding coverage to the department of El Quiche.</p>",,2007,2010,USD 600000,https://www.land-links.org/project/tierras-land-conflict-resolution-in-el-quiche-guatemala/,GTM,USAID,,Land Conflicts,land conflicts;land governance
,Voices In Peace: Kenya,"<p>This reconciliation program used community media to inform and stimulate dialogue in communities affected by land conflict, while promoting dialogue on land issues in the national print media. The project trained journalists to better understand and cover land issues. The use of media to promote discussion, transparency and accountability around land conflicts in two target communities was designed to mitigate conflict locally and to promote informed dialogue on a national level.</p>",,2009,2010,USD 600000,https://www.land-links.org/project/voices-in-peace-kenya/,KEN,USAID,,Land Conflicts,land conflicts;land governance
,Tenure and Global Climate Change: Zambia,"<p>Using policy engagement, pilot interventions, in-depth case studies, and quantitative and qualitative analysis, the USAID <strong>Tenure and Global Climate Change project</strong> is advancing knowledge and practice on how land tenure and resource rights relate to global efforts to mitigate and adapt to climate change. The majority of land in Zambia is allocated and administered by traditional authorities, led by a chief and based on the application of customary practices. As Zambia’s economy and population grow, new pressures are placed on customary lands and its forest and wildlife resources. Demographic and social pressures bring increased land disputes and pressure to convert customary land to state administered leasehold land. Individual smallholders commonly have no documentation of their land claims, resulting in complex land disputes over boundaries, defense of rights in the event of divorce, death of a family member, or reallocation of land. Such boundary disputes are reportedly becoming more common. Both traditional leaders and village members are increasingly attuned to a need for some form of documentation to assist in long-term land management. Additionally, Zambian law places forest and wildlife resources under state control, and with limited mechanisms for devolving rights and benefits to local stakeholders.</p>
<p>As the Government of Zambia develops a new land policy, and launches a land audit, national land titling program, and new forest and wildlife acts, it is important to demonstrate cost-effective models for customary land documentation, administration and management that promote and strengthen the role of local institutions and result in sustainable land and resource management. Since 2014, USAID’s Tenure and Global Climate Change (TGCC) project has supported the Chipata District Land Alliance (CDLA) to pilot tenure strengthening activities in over 130 villages in four chiefdoms in the Chipata District. USAID’s work focuses on the role of traditional leaders as custodians of customary land. As part of this work, USAID is undertaking a randomized-control trial impact evaluation to better understand whether customary land documentation increases sustainable land use practices, like agroforestry.</p>
<h2>Activities</h2>
<p>The local level USAID-supported interventions include activities related to:</p>
<ul>
<li>Chiefdom-level mapping of resources, particularly communal resources, as well as documenting customary rules around land administration and management;</li>
<li>Village-level mapping and resolution of village boundary disputes, and supporting headpersons in local land administration through village committees; and</li>
<li>Supporting Chiefs to deliver and administer customary land certificates.</li>
</ul>
<p>Early results from Chipata, with over 6,000 customary land certificates distributed, demonstrate a keen interest in documenting village and household lands as well as shared resources. In order to assess the scalability of this approach, TGCC is supporting the Petauke District Land Alliance to carry out a similar process in Sandwe Chiefdom on 180,000 hectares at the southern-most border of Zambia’s wildlife flagship, South Luangwa National Park.</p>
<p>USAID’s support is bringing international good practices on systematic land documentation to Zambia through collaboration with government, civil society organizations, and other cooperating partners. This has involved communication at the national level of lessons learned and training to a range of actors.</p>
<p>In addition to assistance on land documentation, USAID’s TGCC program is providing support for government, civil society, and traditional authorities to discuss the range of policy and legal issues around customary and state land administration, and feed these discussions into national policy and legislative processes. This involves supporting consultation between government and the chiefs, as well as promoting public comment on land legislation. USAID is promoting a Zambian-driven research agenda on land administration and management through research seed funds and an annual research symposium.</p>
<p>TGCC’s work in Zambia bridges policy, pilot implementation, multi-stakeholder consultations and empirical research to promote land policy and rural land administration that achieves sustainable livelihoods, climate change mitigation and increased communication between government, rural leaders and local communities.</p>",,2013,2018,USD 13400000,https://www.land-links.org/project/tenure-global-climate-change-zambia/,ZMB,USAID,,,
