Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data Provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License
1;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:1;The rush for farmland;"Since the 2008 food price crisis, foreign investors have been acquiring more and more land in poor countries for producing foodstuffs and biofuels for their own use. Such investments have the potential to promote rural development and food security worldwide. By the same token, however, there is the danger of countless small farmers losing their land, of food insecurity increasing in many places, and of social and ecological systems collapsing through pure ""land grabbing"". International experts are therefore demanding that foreign land acquisition contracts henceforth be drawn up in a transparent, democratic manner in accordance with the law; they should be socially and ecologically sustainable. ";Thomas Kruchem;;DLG-Verlag;Rural21;2010/01;English;"land acquisitions; farmland; land investments; food security; rural development; landlessness; security of tenure (land); farmers; land grabbing; land grabs; land policies; land deals";Land & Investments;"Access to Land & Tenure Security; Land Policy & Legislation";Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/focus/the-rush-for-farmland/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_The_rush_for_farmland_0110.pdf;;All rights reserved
2;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:2;A threat to global food security;As the world continues to experience a severe food crisis, with over one billion people going hungry, land grabbing – the purchase or lease of land by wealthy, food-insecure nations and private investors from mostly poor, developing nations in order to produce food crops for export – is gaining momentum. Some governments and international agencies believe that the in? ux of money and technology can turn land grabbing into a win–win situation for all involved. But is this really the case?;Sue Branford;GRAIN;DLG-Verlag;Rural21;2010/01;English;"land grabbing; land acquisitions; food security; land investments; development agencies; poverty; sustainable development";"Land & Investments; Land & Food Security";Access to Land & Tenure Security;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/focus/a-threat-to-global-food-security/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_A_threat_to_global_food_security_0110.pdf;;All rights reserved
3;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:3;"""Land grabs"" in Africa: Pathways, trends and the role of legal contracts";Large land acquisitions can have a deep, lasting e? ect on livelihoods, food security and the future of agriculture, so there is a need for strategic thinking, vigorous public debate and government responsiveness to public concerns, especially in recipient countries;"Lorenzo Cotula; Sonja Vermeulen";International Institute for Environment and Development;DLG-Verlag;Rural21;2010/01;English;"land deals; land acquisitions; food security; agriculture; land investments; land grabs";Land & Investments;Access to Land & Tenure Security;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/focus/land-grabs-in-africa-pathways-trends-and-the-role-of-legal-contracts/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21__Land_grabs__in_Africa_0110.pdf;;All rights reserved
4;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:4;Big push for development or erosion of local livelihood?;The recent upsurge in Foreign Direct Investment (FDI) in land raises the hope to bridge the gap of decades of underinvestment in developing countries’ agricultural sector, but it may also threaten host countries’ food security and increase the vulnerability of the rural population. Based on four country case studies conducted by Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ), this article illustrates distinct impacts of large-scale investments in agricultural land.;Susanne Väth;;DLG-Verlag;Rural21;2010/01;English;"land investments; food security; rural population; sustainable development; agriculture; farmland";Land & Investments;Access to Land & Tenure Security;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/focus/big-push-for-development-or-erosion-of-local-livelihood/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Big_push_for_development_or..._0110.pdf;;All rights reserved
5;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:5;New challenges for ACP countries?;Land is an asset of enormous importance for billions of rural dwellers in the developing world. Recent trends are prompting a massive increase in global commercial interest in land and natural resources, and this is creating unprecedented pressures on land resources, especially in developing countries. ;Isolina Boto;Technical Centre for Agricultural and Rural Co-operation ACP-EU;DLG-Verlag;Rural21;2010/01;English;"rural development; rural population; land investments; land acquisitions; land grabbing";Land & Investments;Access to Land & Tenure Security;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/focus/new-challenges-for-acp-countries/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_New_challenges_for_ACP_countries__0110.pdf;;All rights reserved
6;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:6;An opportunity for sustainable growth in Africa;African Governments are planning to leapfrog development and move to a middle income economy in a short time. This requires a sustainable strong economic growth, based primarily on African agricultural resources and initially with huge resources from outside, partly provided by donors but mainly from the private sector through sustainable and responsible investments. All actors should engage in a serious dialogue on how to facilitate and create good investments in order to attract the necessary resources for development. To stand still and wait is not an option for the rural poor in Africa!;Per Carstedt;;DLG-Verlag;Rural21;2010/01;English;"agriculture; agricultural land management; development agencies; land investments; land deals; rural population; poverty";"Land & Investments; Land Stakeholders & Institutions";Access to Land & Tenure Security;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/opinion/an-opportunity-for-sustainable-growth-in-africa/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_An_opportunity_for_sustainable_growth_in_Africa_0110.pdf;;All rights reserved
7;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:7;Indigenous people are losing their livelihood;In many Asian, African, and South American nations, indigenous people are being driven from their homes: Government authorities are leasing hundreds of thousands of hectares of land belonging to indigenous people who only in the rarest of cases possess deeds to the land that are recognised by the authorities. Although in many cases their ancestors have lived on the land for centuries, these rights were never recorded in the land registries. The way of life and the livelihood of many indigenous peoples are severely threatened by their land being sold off. For them such a sale is not a question of profits, but of survival itself.;Ulrich Delius;;DLG-Verlag;Rural21;2010/01;English;"indigenous peoples; indigenous land rights; indigenous lands; landlessness; dispossession; land rights; land registration; land administration; land investments; land deals";"Land & Investments; Indigenous & Community Land Rights";Access to Land & Tenure Security;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/opinion/indigenous-people-are-losing-their-livelihood/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Indigenous_people_are_losing_their_livelihood_0110.pdf;;All rights reserved
8;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:8;Rethinking rural and agricultural finance - The African case;In order to boost agricultural growth in SSA, further investment in the agricultural sector is urgently needed. The mark-up of ODA funds is a stepping-stone in this regard. However, ODA should function as a catalyst for further private investments and should be used to assist recipient governments in building the institutional framework for attracting private investment and promoting balanced growth. Important success factors include further advances in improving domestic banking and agricultural risk management systems.;"Matthias Bickel; Prof. Martin Klein; Tobias Weirowski; Michael Schöppe";;DLG-Verlag;Rural21;2010/01;English;"land investments; land economics";Land & Investments;Land Use, Management & Investment;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/international-platform/rethinking-rural-and-agricultural-finance-the-african-case/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Rethinking_rural_and_agricultural_finance_0110.pdf;;All rights reserved
9;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:9;Regional rural development needs people empowerment;Lessons learnt from India prove that people empowerment through self-help groups and target group orientation still matters for sustainable rural development. However, this is only true if economic, socio-cultural, political and environmental empowerment interlock. This article makes an argument for a grassroot-level and participative approach of people empowerment in regional rural development.;Dr. Michael Holländer;;DLG-Verlag;Rural21;2010/01;English;"rural development; land acquisitions; land grabbing; land investments; sustainable development";Land & Investments;Access to Land & Tenure Security;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/international-platform/regional-rural-development-needs-people-empowerment/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Regional_rural_development..._0110.pdf;;All rights reserved
10;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:10;Cheese versus poverty;Smallholder communities in the Bolivian highlands have managed to conquer hunger: cheese production o? ers great hope to the people of the Peñas Valley. Cheese provides healthy nourishment for their children, generates additional income for families, and stimulates the local economy. Education is a decisive factor.;Constanze Bandowski;;DLG-Verlag;Rural21;2010/01;English;"poverty; food security; land acquisitions; land grabbing; land grabs; land investments";Land & Investments;Land Use, Management & Investment;Bolivia;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/international-platform/cheese-versus-poverty/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Cheese_versus_poverty_0110.pdf;;All rights reserved
11;Land acquisitions - land grabbed?;Rural21-Vol:44-Nr:1/2010-Article:11;African farmers develop their own rice cultivars;Nerica – New Rice for Africa is the name of the great biotechnological success in rice breeding. What scientists created in the lab using modern methods, namely hybrids of African rice and Asian rice, had already come into being decades ago by chance in West African ?elds.;"Edwin Nuijten; Robbert van Treuren; Paul C. Struik, Alfred Mokuwa; Florent Okry; Béla Teeken; Paul Richards";;DLG-Verlag;Rural21;2010/01;English;"farmers; agriculture; farming systems; agricultural land management";;Land Use, Management & Investment;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2010-01en/scientific-world/african-farmers-develop-their-own-rice-cultivars/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_African_farmers_develop..._0110.pdf;;All rights reserved
